Serial No.,Student name,Exam Score,TOEFL Score,University Rating,Grade 5-9,SOP,LOR ,CGPA,Research,Chance of Admit
2710075,Eric Pușcașu,314,105,2,5.26,2.5,2.0,7.64,bad,0.7
3060075,Stela Florea,320,104,3,5.42,3.0,2.5,8.57,good,0.74
1950075,Atena Suciu,327,104,5,5.27,3.0,3.5,8.84,good,0.71
2960075,Cornelia Popescu,320,104,3,5.26,3.0,3.5,8.74,good,0.76
2370075,Floare Tudor,305,112,3,5.21,3.0,3.5,8.65,bad,0.71
20075,Smaranda Oprea,307,110,4,6.19,4.0,4.5,8.37,bad,0.79
550075,Marcheta Ionescu,297,98,2,5.28,2.5,3.0,7.67,bad,0.59
3770075,Răzvan Stancu,333,117,4,5.13,5.0,4.0,9.66,good,0.95
4990075,Iustin Ioniță,296,99,2,5.25,2.5,2.5,8.03,bad,0.61
4730075,Teona Albu,300,102,3,5.28,3.5,2.5,8.17,bad,0.63
3840075,Bănel Nistor,330,113,5,5.79,5.0,4.0,9.31,good,0.91
1490075,Manole Popa,324,110,4,5.15,4.5,4.0,9.15,good,0.82
3360075,Sebastian Stan,315,100,1,5.34,2.0,2.5,7.95,bad,0.58
2100075,Anda Popa,299,106,2,5.09,4.0,4.0,8.4,bad,0.64
3210075,Darius Preda,306,105,2,5.96,3.0,2.5,8.26,bad,0.73
1160075,Carolina Oprea,318,109,1,5.3,3.5,3.5,9.12,bad,0.78
1990075,Matilda Voinea,313,102,3,5.44,3.5,4.0,8.9,good,0.77
1010075,Catrina Stancu,314,107,2,5.38,2.5,4.0,8.56,bad,0.63
4680075,Timea Mocanu,312,105,2,5.44,1.5,3.0,8.46,bad,0.66
4930075,Denis Gheorghiu,336,118,5,5.28,4.5,4.0,9.19,good,0.92
4910075,Iulian Stancu,311,104,2,5.23,2.0,2.0,8.3,bad,0.42
3020075,Petruț Dinu,321,109,4,5.36,4.0,4.0,8.68,good,0.69
120075,Giorgiana Aanei,316,109,4,6.01,4.5,3.5,8.76,good,0.74
460075,Octavian Preda,310,110,1,5.56,1.5,4.0,7.23,good,0.58
3300075,Giorgian Aanei,321,109,3,6.7,3.0,4.0,8.2,good,0.75
3420075,Dana Toma,322,110,3,5.13,4.0,5.0,8.64,good,0.85
430075,David Stănescu,304,97,2,5.28,1.5,2.0,7.64,bad,0.47
1860075,Anișoara Georgescu,323,108,5,5.75,4.0,4.0,8.74,good,0.81
1610075,Lucia Mocanu,306,106,2,5.14,2.0,2.5,8.14,bad,0.61
1690075,Lavinia Dobre,334,114,4,5.51,4.0,4.0,9.43,good,0.93
1780075,Marin Preda,319,110,3,6.64,3.5,3.5,9.04,bad,0.82
3930075,Dalia Toma,317,104,2,6.37,3.0,3.0,8.76,bad,0.77
2940075,Mihai Ioniță,316,106,2,5.24,2.5,4.0,8.32,bad,0.72
4060075,Ovidiu Pop,315,101,3,5.22,3.5,4.5,9.13,bad,0.79
2560075,Alis Mocanu,325,106,3,5.32,3.5,4.0,8.4,good,0.52
10075,Cezar Ioniță,322,104,3,5.68,3.5,4.0,8.84,good,0.78
680075,Vincențiu Stan,317,104,2,5.93,4.5,4.0,8.47,bad,0.57
1750075,Floare Oprea,340,120,4,5.18,5.0,5.0,9.5,good,0.96
930075,Mona Diaconu,304,105,1,5.4,3.0,1.5,7.5,bad,0.52
3090075,Catinca Gheorghiu,305,105,2,5.33,3.0,4.0,8.13,bad,0.66
2360075,Iosif Ardelean,313,102,3,5.26,2.0,3.0,8.27,bad,0.64
710075,Semenica Tomescu,326,114,4,5.28,4.0,3.5,9.16,good,0.86
4490075,Florica Nemeș,310,107,3,5.18,3.5,3.5,8.67,bad,0.76
3190075,Maia Tomescu,308,105,4,5.25,3.0,2.5,7.95,good,0.67
2230075,Sânziana Dinu,311,104,3,5.19,4.5,4.5,8.43,bad,0.7
1040075,Domnica Stan,320,120,3,5.57,4.0,4.5,9.11,bad,0.86
1410075,Mihai Oprea,315,104,3,5.72,4.0,2.5,8.1,bad,0.65
80075,Fabiana Niță,315,105,3,5.34,2.0,2.5,8.48,bad,0.75
1520075,Stana Mocanu,326,112,4,5.05,4.0,3.5,9.12,good,0.84
1060075,Vasile Mocanu,326,114,3,5.12,3.0,3.0,9.11,good,0.83
4760075,Zaraza Georgescu,320,108,3,5.2,3.5,5.0,8.97,good,0.84
4250075,Decebal Nistor,324,114,5,5.46,5.0,4.5,9.08,good,0.89
4430075,Zoe Dinu,308,108,3,5.64,3.5,3.5,8.22,bad,0.61
740075,Nicuță Ababei,298,92,1,5.29,2.0,2.0,7.88,bad,0.51
4810075,Eufrosina Pop,306,100,2,5.56,3.0,3.0,8.0,bad,0.48
2600075,Leopoldina Albu,340,120,4,6.03,4.5,4.0,9.92,good,0.97
2490075,Ionel Stancu,299,100,1,5.92,1.5,2.0,7.89,bad,0.59
1850075,Lăcrămioara Eftimie,331,116,4,5.25,4.5,4.5,9.44,good,0.92
3530075,Paulica Dima,331,120,3,5.74,4.0,4.0,8.96,good,0.86
4780075,Dina Diaconescu,298,100,3,5.11,2.5,4.0,7.95,good,0.58
4310075,Ilarie Georgescu,310,106,4,5.44,1.5,2.5,8.36,bad,0.57
1100075,Victoria Mocanu,314,110,3,5.39,4.0,4.0,8.8,bad,0.75
3410075,Andreea Ardelean,340,120,5,7.09,4.5,4.5,9.91,good,0.97
4360075,Veronica Tudor,316,105,3,5.51,3.0,3.5,8.73,bad,0.72
2690075,Basarab Diaconu,321,109,3,5.35,3.5,3.5,8.8,good,0.74
1830075,Nechifor Ene,330,114,3,5.19,4.5,4.5,9.24,good,0.9
880075,Alin Florea,325,110,4,5.82,3.5,4.0,8.67,good,0.73
630075,Teodosia Barbu,302,101,2,5.19,2.5,3.5,7.96,bad,0.46
3290075,Aristița Voinea,324,110,3,6.98,3.5,3.5,9.04,good,0.82
4030075,Codin Aanei,340,112,4,5.78,5.0,4.5,9.66,good,0.94
1230075,Olimpian Nemeș,300,100,3,6.06,2.0,3.0,8.66,good,0.64
4210075,Barbu Eftimie,322,105,2,5.55,3.0,3.0,8.45,good,0.65
4890075,Raluca Toma,308,109,2,5.29,3.0,4.0,8.45,bad,0.71
4970075,Alice Georgescu,309,111,2,5.23,2.5,4.0,8.03,bad,0.6
1260075,Ilona Toma,312,104,3,5.72,3.5,3.5,8.42,bad,0.74
960075,Costel Barbu,333,118,5,5.25,5.0,5.0,9.35,good,0.92
5000075,Isabela Tabacu,299,100,3,5.45,2.0,3.0,7.42,bad,0.42
2380075,Octav Dochioiu,313,109,3,5.09,4.0,3.5,9.0,bad,0.79
2240075,Victoria Tudor,324,113,5,5.57,4.0,5.0,9.25,good,0.92
4110075,Georgiana Nemeș,297,96,2,5.38,2.5,2.0,7.43,bad,0.34
4130075,Teona Georgescu,300,102,2,5.44,1.5,2.0,7.87,bad,0.56
180075,Emanuela Suciu,317,106,2,5.75,2.0,3.5,8.12,bad,0.73
4960075,Emanuel Stancu,316,101,2,6.19,2.5,2.0,8.32,good,0.61
860075,Semenica Toma,325,107,3,6.55,3.0,3.5,9.11,good,0.84
2220075,Marin Tabacu,312,107,3,5.28,3.0,3.0,8.46,good,0.75
1840075,Gică Nistor,301,107,3,6.06,3.5,3.5,8.34,good,0.62
3610075,Paulica Diaconescu,307,102,3,5.18,3.0,3.0,8.27,bad,0.73
1220075,Pleșu Preda,325,112,4,5.16,4.0,4.0,9.0,good,0.8
2540075,Mihai Manole,324,112,4,5.49,4.5,4.0,9.22,good,0.86
1910075,Emilia Mazilescu,327,115,4,5.22,3.5,4.0,9.14,bad,0.79
4050075,Cristobal Ardelean,323,107,4,5.44,3.0,2.5,8.48,good,0.78
2480075,Oliviu Ionescu,322,112,4,5.49,3.5,2.5,9.02,good,0.73
4390075,Pompilia Aanei,304,100,2,5.01,2.5,3.5,8.07,bad,0.64
1710075,Maricica Pușcașu,328,108,4,5.58,4.5,4.0,9.18,good,0.84
1980075,Izabela Stan,329,111,4,5.51,4.5,4.0,9.01,good,0.81
3200075,Melina Tudor,312,103,3,5.44,5.0,4.0,8.45,bad,0.76
3660075,Geanina Marin,310,106,2,5.23,3.5,2.5,8.33,bad,0.73
520075,Andrei Suciu,326,102,4,5.91,5.0,5.0,8.76,good,0.77
2890075,Adelaida Dima,312,107,2,5.3,2.5,3.5,8.27,bad,0.69
3990075,Nechifor Nistor,310,106,4,5.24,4.5,4.5,9.04,good,0.66
2270075,Ioan Stoica,335,117,5,5.53,5.0,5.0,9.56,good,0.94
3720075,Cantemir Dobre,313,101,3,5.42,2.5,3.0,8.04,bad,0.62
3850075,Toma Georgescu,305,105,2,5.32,3.0,2.0,8.23,bad,0.67
620075,Ilie Popa,324,109,3,5.58,3.5,3.0,8.94,good,0.78
240075,Robert Tudor,330,116,4,5.62,5.0,4.5,9.45,good,0.91
3700075,Iosefina Stan,319,112,3,6.97,2.5,2.0,8.71,good,0.78
2820075,Steluța Tomescu,331,116,5,6.14,4.0,4.0,9.26,good,0.93
4120075,Aneta Barbu,313,94,2,5.61,2.5,1.5,8.13,bad,0.56
2400075,Norbert Popa,338,117,4,5.21,3.5,4.5,9.46,good,0.91
410075,Iurie Ardelean,310,103,2,5.3,2.5,2.5,8.24,bad,0.72
3270075,Dina Dobre,326,116,3,5.21,3.5,4.0,9.14,good,0.81
1050075,Cerasela Diaconu,323,112,5,5.93,4.0,4.5,8.78,bad,0.79
3710075,Rozalia Stancu,328,116,4,5.1,5.0,3.5,9.6,good,0.93
1880075,Ioana Nemeș,326,113,5,5.36,4.5,4.0,9.4,good,0.91
1170075,Zamfir Dochioiu,319,105,4,5.77,4.0,4.5,8.66,good,0.77
3110075,Magdalena Ardelean,325,112,4,5.26,3.5,3.5,8.92,bad,0.55
4170075,Ortansa Florea,321,111,3,5.67,2.5,3.0,8.9,good,0.8
700075,Titus Suciu,319,103,4,5.22,4.5,3.5,8.66,bad,0.76
3740075,Haralamb Nistor,324,115,3,5.19,3.5,3.0,8.76,good,0.7
3320075,Heracleea Ababei,317,107,3,6.14,3.5,3.0,8.68,good,0.84
2650075,Valeria Tabacu,300,100,3,5.23,3.0,3.5,8.26,bad,0.62
340075,Adonis Nistor,297,100,1,5.4,1.5,2.0,7.9,bad,0.52
4240075,Felicia Ionescu,328,112,4,5.7,4.0,4.5,9.1,good,0.78
2210075,Simina Ababei,320,110,5,5.64,5.0,5.0,9.2,good,0.88
3140075,Anabela Dobre,295,93,1,5.73,2.0,2.0,7.2,bad,0.46
500075,Leordean Ene,312,101,2,5.58,2.5,3.5,8.04,good,0.68
2580075,Anatolie Ioniță,331,115,5,5.58,4.0,3.5,9.44,good,0.92
3180075,Laurian Toma,312,103,3,5.37,3.5,4.0,8.78,bad,0.67
980075,Marin Ababei,308,106,3,5.42,3.0,3.0,8.24,bad,0.58
210075,Iacob Stănescu,316,110,3,5.22,3.5,4.0,8.56,bad,0.75
230075,Melina Florea,304,100,4,5.59,1.5,2.5,7.84,bad,0.42
2500075,Zina Dima,312,100,2,7.12,1.5,3.5,7.9,good,0.56
1370075,Tudor Mocanu,296,101,1,5.49,2.5,3.0,7.68,bad,0.6
3280075,Petre Cristea,317,106,3,6.66,3.5,3.0,7.89,good,0.73
1800075,Ilarion Tudor,303,98,1,5.6,2.0,2.5,7.65,bad,0.56
1920075,Decebal Diaconu,309,108,3,5.16,2.5,3.0,8.12,bad,0.72
290075,Mitruț Dobre,316,105,2,5.79,2.5,2.5,8.2,good,0.49
1940075,Marius Dobre,312,103,4,5.68,4.0,5.0,8.43,bad,0.73
1530075,Andrei Suciu,321,112,3,5.33,3.0,4.5,8.95,good,0.77
3780075,Dinu Stănescu,315,99,2,5.29,3.5,3.0,7.89,bad,0.63
2570075,Svetlana Preda,312,106,3,5.53,4.0,3.5,8.79,good,0.81
2120075,Ilarion Popa,321,114,4,5.48,4.0,5.0,9.12,bad,0.85
2980075,Veta Dochioiu,314,102,4,5.36,2.5,2.0,7.88,good,0.59
3600075,Camelia Ababei,314,103,2,5.38,2.0,3.0,8.21,bad,0.65
590075,Melania Dima,309,99,3,5.11,4.0,4.0,8.56,bad,0.76
1550075,Natașa Tomescu,312,109,2,5.15,2.5,4.0,9.02,bad,0.8
4520075,Lioara Suciu,322,107,3,5.44,3.5,3.5,8.46,good,0.71
3370075,Didina Ene,306,110,2,5.21,3.5,4.0,8.45,bad,0.63
4530075,Silviana Gheorghiu,340,115,5,5.42,5.0,4.5,9.06,good,0.95
4340075,Ghiță Albu,333,119,5,5.25,5.0,4.5,9.78,good,0.96
4070075,Catinca Mazilescu,334,117,5,5.15,4.0,4.5,9.07,good,0.89
2930075,Caterina Pop,332,119,4,5.64,5.0,4.5,9.24,good,0.9
1700075,Ștefana Preda,302,99,2,5.15,1.0,2.0,7.97,bad,0.56
4220075,Malvina Mazilescu,330,116,5,5.4,5.0,4.5,9.36,good,0.93
4750075,Crin Ardelean,307,101,3,5.45,4.0,3.0,8.2,bad,0.47
2020075,Octav Preda,339,119,5,5.34,4.5,4.0,9.7,bad,0.89
790075,Mărioara Ioniță,338,118,4,5.35,3.0,4.5,9.4,good,0.91
4600075,Niculina Stănescu,314,107,3,6.51,3.0,3.5,8.17,good,0.73
380075,Adrian Dinu,295,101,2,5.5,2.5,2.0,7.86,bad,0.69
150075,Petrică Toma,317,103,3,5.39,2.5,3.0,8.54,good,0.73
4710075,Vlaicu Preda,327,118,4,5.67,5.0,5.0,9.67,good,0.93
4400075,Steliana Nistor,298,98,2,5.26,1.5,2.5,7.5,good,0.44
160075,Silviu Stancu,325,114,5,6.38,4.0,5.0,9.46,good,0.91
2320075,Cipriana Eftimie,313,104,3,5.47,4.0,4.5,8.65,bad,0.73
1820075,Vincențiu Manole,327,108,5,5.48,5.0,3.5,9.13,good,0.87
1650075,Eva Dinu,314,104,4,6.17,5.0,5.0,9.02,bad,0.82
4160075,Violeta Ardelean,318,109,3,7.66,3.0,3.0,8.5,bad,0.67
2310075,Eusebiu Stancu,323,111,5,5.72,4.0,5.0,9.86,good,0.92
1450075,Grațiana Manole,326,116,2,5.31,4.5,3.0,9.08,good,0.8
4500075,Albertina Aanei,304,105,2,5.15,3.0,3.0,8.2,good,0.54
2870075,Casandra Toma,314,109,4,5.34,3.5,4.0,8.77,good,0.82
3340075,Luca Aanei,326,112,3,5.31,3.5,3.0,9.1,good,0.84
270075,Viorela Ionescu,304,104,3,5.5,2.5,2.0,8.12,bad,0.62
690075,Florentina Tomescu,302,102,1,5.87,2.0,1.5,8.0,bad,0.5
4740075,Leontin Manole,299,100,3,5.17,2.0,2.0,8.02,bad,0.63
2070075,Iancu Marin,304,107,3,5.16,3.5,3.0,7.86,bad,0.57
280075,Catrinel Niță,325,111,3,5.7,3.0,3.5,8.7,bad,0.52
810075,Edgar Stănescu,309,106,2,5.78,2.5,2.5,8.0,bad,0.62
840075,Petruța Marin,311,104,3,5.43,3.5,2.0,8.2,good,0.61
1190075,Lia Stănescu,315,105,3,7.68,2.0,2.5,8.34,bad,0.7
1080075,Haralambie Mocanu,308,110,3,6.06,3.5,3.0,8.0,good,0.46
2970075,Aleodor Barbu,311,99,1,5.32,2.5,3.0,8.43,good,0.71
3230075,Alis Dochioiu,323,110,4,5.58,4.0,5.0,8.88,good,0.81
3810075,Gabriel Florea,330,116,4,5.46,4.0,3.5,9.23,good,0.91
2110075,Didina Preda,322,112,4,6.05,4.5,4.5,9.26,good,0.91
2050075,Veronica Diaconescu,304,102,2,5.33,3.0,4.0,8.73,bad,0.67
3400075,Dinu Aanei,306,103,3,5.17,3.5,3.0,8.21,bad,0.64
4640075,Norbert Stancu,311,104,3,5.58,4.0,3.5,8.13,good,0.74
2450075,Daciana Pop,332,118,5,5.48,5.0,5.0,9.47,good,0.94
1660075,Iulia Mocanu,325,112,4,5.56,4.0,4.5,9.17,good,0.85
3350075,Mădălina Popa,310,102,3,5.36,3.5,4.0,8.02,good,0.66
3010075,Felicia Nistor,338,120,4,5.64,5.0,5.0,9.66,good,0.95
1150075,Ioana Nistor,317,100,2,5.34,3.0,2.5,8.57,bad,0.68
4720075,Alexandra Diaconu,295,99,1,5.69,2.0,1.5,7.57,bad,0.37
420075,Tincuța Aanei,316,99,2,5.2,2.5,3.0,9.0,bad,0.7
1890075,Ofelia Tabacu,322,112,3,6.0,3.0,4.0,8.62,good,0.76
4580075,Mioara Tabacu,319,102,3,5.21,2.5,2.5,8.37,bad,0.68
3820075,Paula Pușcașu,323,107,3,6.41,3.5,3.5,8.55,good,0.73
3750075,Antonela Tomescu,318,107,3,5.19,3.0,3.5,8.27,good,0.74
1630075,Panagachie Preda,308,108,4,5.88,4.5,5.0,8.34,bad,0.77
3950075,Ionelia Oprea,315,110,2,5.64,3.5,3.0,8.46,good,0.72
1250075,Georgia Ardelean,298,99,1,5.46,1.5,3.0,7.46,bad,0.53
3760075,Adi Manole,332,117,4,5.32,4.5,4.0,9.1,bad,0.87
660075,Anca Voinea,321,109,4,5.31,4.0,4.0,9.13,good,0.85
1460075,Adelin Voinea,315,105,2,5.47,3.0,3.0,8.34,bad,0.66
320075,Cleopatra Dochioiu,324,111,5,5.48,4.5,4.0,9.16,good,0.9
510075,Tinca Diaconescu,308,110,4,5.22,3.5,3.0,8.6,bad,0.7
4440075,Lucian Mazilescu,331,119,4,5.82,5.0,4.5,9.34,good,0.9
2900075,Cristea Stoica,316,110,3,5.53,4.0,4.5,8.78,good,0.69
350075,Margareta Florea,324,112,4,5.27,4.0,2.5,8.1,good,0.72
3460075,Cedrin Eftimie,320,108,3,5.26,3.5,4.0,8.44,good,0.76
2290075,Grațian Dochioiu,324,107,4,5.49,4.0,4.5,8.87,good,0.76
3630075,Noemi Niță,332,112,1,6.55,1.5,3.0,8.66,good,0.79
1600075,Mirona Pop,328,113,4,5.13,4.0,2.5,8.77,good,0.83
3470075,Xenia Ionescu,327,111,4,5.67,3.0,4.0,8.4,good,0.78
2910075,Maximilian Popescu,308,102,2,5.95,2.0,3.5,7.98,good,0.58
3500075,Iulian Mazilescu,312,105,3,5.67,2.0,3.0,8.02,good,0.5
1760075,Norbert Eftimie,295,99,2,5.44,2.5,3.0,7.65,bad,0.57
110075,Teodosia Gheorghiu,331,112,5,5.43,4.0,5.0,9.8,good,0.94
4510075,Laurenția Diaconu,324,111,3,5.92,2.5,1.5,8.79,good,0.7
170075,Emilia Preda,310,101,3,5.45,3.5,5.0,8.65,good,0.71
490075,Rafila Cristea,320,104,3,5.61,3.5,4.5,8.34,good,0.74
4830075,Leontin Tudor,299,97,3,5.69,5.0,3.5,7.66,bad,0.38
650075,Constanța Manole,324,107,5,5.3,3.5,4.0,8.66,good,0.81
4010075,Victoria Mocanu,316,102,2,5.69,4.0,3.5,8.15,bad,0.67
390075,Steliana Marin,334,116,4,5.62,4.0,3.0,8.0,good,0.78
1030075,Bucur Preda,316,98,1,5.39,1.5,2.0,7.43,bad,0.49
2060075,Avram Mocanu,325,110,2,5.06,3.0,2.5,8.76,good,0.75
3220075,Simona Stănescu,317,103,2,5.54,2.5,2.0,8.15,bad,0.65
4180075,Amalia Dinu,307,109,3,5.58,4.0,3.0,8.0,good,0.62
2850075,Smaranda Barbu,308,104,2,5.93,2.5,3.0,8.07,bad,0.65
2420075,Frederic Ionescu,314,108,3,5.53,4.5,3.5,8.14,bad,0.64
1140075,Magdalena Nistor,307,105,2,5.38,2.0,3.5,8.1,bad,0.53
3940075,Bebe Niță,312,99,1,5.16,1.0,1.5,8.01,good,0.52
3040075,Daria Mazilescu,302,102,3,5.99,3.5,5.0,8.33,bad,0.65
4270075,Emanuil Ene,324,112,4,5.61,4.0,3.5,8.77,good,0.8
100075,Gică Ene,298,101,4,5.39,2.5,4.5,7.69,good,0.53
4140075,Georgeta Preda,333,113,5,5.35,4.0,4.0,9.28,good,0.89
1420075,Traian Ioniță,323,110,3,5.37,4.0,3.5,9.1,good,0.79
800075,Mitică Stan,321,102,3,5.88,3.5,4.0,9.01,good,0.8
1340075,Ducu Stancu,327,113,4,5.61,3.5,3.0,8.69,good,0.8
3450075,Mina Dumitrescu,325,114,3,5.2,3.5,3.0,9.04,good,0.76
1560075,Varvara Niță,322,110,3,5.2,3.0,3.5,8.0,bad,0.7
4100075,Lascăr Manole,306,103,2,6.18,2.5,3.0,8.36,bad,0.69
1020075,Anișoara Suciu,313,98,3,5.29,2.5,4.5,8.3,good,0.76
1390075,Marga Ionescu,299,100,2,5.27,2.0,2.0,7.88,bad,0.51
330075,Petruț Ababei,321,111,4,5.31,4.0,4.0,8.97,good,0.87
900075,Diana Oprea,328,116,5,5.59,4.5,5.0,9.08,good,0.91
1970075,Marga Diaconescu,324,112,5,5.45,5.0,5.0,9.08,good,0.88
3170075,Ilona Mocanu,337,117,5,5.32,5.0,5.0,9.87,good,0.96
2730075,Cazimir Ionescu,335,118,5,5.34,4.5,3.5,9.44,good,0.93
3680075,Iacob Voinea,311,99,2,5.35,2.5,3.0,7.98,bad,0.65
200075,Mugur Stancu,300,99,1,5.61,3.0,2.0,6.8,good,0.36
1480075,Jenel Mazilescu,321,110,3,5.36,3.5,5.0,8.85,good,0.82
2880075,Bogdana Ababei,295,96,2,5.27,1.5,2.0,7.34,bad,0.47
2640075,Marcel Dinu,326,111,5,5.12,4.5,4.0,9.23,good,0.88
4470075,Rada Ioniță,318,100,2,5.28,2.5,3.5,8.54,good,0.71
2720075,Clarisa Ene,325,114,4,5.52,3.0,2.0,8.4,bad,0.7
3620075,Emilian Eftimie,301,100,3,5.28,3.5,3.0,8.04,bad,0.67
4920075,Alexe Dumitrescu,329,113,4,5.29,4.0,3.5,9.36,good,0.89
1210075,Georgiana Aanei,315,103,1,5.23,1.5,2.0,7.86,bad,0.57
2620075,Laurian Nistor,329,113,5,5.36,5.0,4.5,9.45,good,0.89
1180075,Steluța Nistor,321,114,5,5.48,4.5,4.5,9.16,good,0.87
30075,Lucențiu Gheorghiu,323,110,5,5.25,4.0,5.0,8.98,good,0.87
4980075,Delia Georgescu,335,117,5,5.34,5.0,5.0,9.82,good,0.96
2760075,Dina Oprea,312,98,1,5.03,3.5,3.0,8.18,good,0.64
4560075,Catinca Dochioiu,317,101,3,5.4,3.0,2.0,7.94,good,0.49
4540075,Ionela Cristea,305,103,2,5.63,2.5,3.5,8.13,bad,0.59
2340075,Adelaida Dumitrescu,324,100,3,5.05,4.0,5.0,8.64,good,0.78
1570075,Antonie Dochioiu,312,108,3,5.39,3.5,3.0,8.53,bad,0.69
950075,Hortensia Mocanu,311,106,2,5.47,3.5,3.0,8.26,good,0.79
3160075,Cerasela Suciu,339,114,5,5.24,4.0,4.5,9.76,good,0.96
2950075,Aurora Dumitrescu,332,116,5,5.67,5.0,5.0,9.28,good,0.94
1070075,Giorgiana Tudor,321,107,2,5.4,2.0,1.5,8.44,bad,0.81
4330075,Jasmina Marin,323,113,3,5.88,4.0,4.0,8.88,good,0.79
3510075,Fiodor Eftimie,336,119,4,5.85,4.5,4.0,9.62,good,0.95
2160075,Lelia Tomescu,317,107,2,5.12,3.5,3.0,8.28,bad,0.66
3560075,Hortensia Stănescu,312,100,1,5.23,3.0,3.0,8.53,good,0.69
370075,Vlaicu Albu,327,113,3,5.09,3.5,3.0,8.66,good,0.8
4590075,Damian Popescu,331,117,4,5.35,4.5,5.0,9.42,good,0.94
4410075,Brândușa Cristea,314,99,4,5.19,3.5,4.5,8.73,good,0.71
1360075,Ludovica Niță,334,119,5,5.69,4.5,4.5,9.48,good,0.94
2550075,Ionela Popescu,327,113,4,5.52,4.5,4.5,9.04,bad,0.84
3800075,Vlad Stănescu,312,107,3,5.35,3.0,2.0,7.9,good,0.64
4380075,Zoe Albu,331,115,5,5.34,4.5,3.5,9.36,good,0.93
4290075,Olivia Dima,336,112,5,5.25,5.0,5.0,9.76,good,0.96
2260075,Sabin Florea,329,111,4,5.13,4.5,4.5,9.18,good,0.87
770075,Sofia Preda,306,105,2,5.22,2.5,3.0,8.22,good,0.72
1810075,Benone Tudor,302,99,1,5.75,2.0,2.0,7.25,bad,0.57
